,t-3,t-2,t-1,DewPointC,cloudcover,windspeedKmph,humidity,pressure,winddirDegree,WindGustKmph,tempC,precipMM
01-01-2009,3.40,3.10,0.60,23.00,57.00,9.00,88.00,1008.00,249.00,13.00,27.00,13.50
02-01-2009,3.10,0.60,13.50,23.00,50.00,10.00,89.00,1009.00,246.00,15.00,26.00,7.70
03-01-2009,0.60,13.50,7.70,22.00,18.00,12.00,85.00,1009.00,253.00,17.00,27.00,0.40
04-01-2009,13.50,7.70,0.40,22.00,33.00,12.00,87.00,1009.00,264.00,18.00,27.00,2.60
05-01-2009,7.70,0.40,2.60,22.00,31.00,11.00,82.00,1009.00,265.00,15.00,28.00,0.90
06-01-2009,0.40,2.60,0.90,22.00,19.00,11.00,82.00,1009.00,267.00,16.00,29.00,1.10
07-01-2009,2.60,0.90,1.10,23.00,45.00,8.00,85.00,1010.00,279.00,11.00,27.00,2.70
08-01-2009,0.90,1.10,2.70,23.00,54.00,9.00,90.00,1011.00,260.00,13.00,25.00,7.40
09-01-2009,1.10,2.70,7.40,22.00,79.00,12.00,92.00,1011.00,263.00,19.00,24.00,18.10
10-01-2009,2.70,7.40,18.10,22.00,36.00,13.00,86.00,1010.00,263.00,19.00,27.00,2.80
11-01-2009,7.40,18.10,2.80,22.00,55.00,15.00,89.00,1010.00,266.00,22.00,26.00,8.60
12-01-2009,18.10,2.80,8.60,22.00,46.00,9.00,87.00,1011.00,280.00,13.00,27.00,1.80
13-01-2009,2.80,8.60,1.80,22.00,65.00,7.00,90.00,1012.00,273.00,11.00,25.00,3.90
14-01-2009,8.60,1.80,3.90,22.00,44.00,10.00,87.00,1011.00,298.00,14.00,27.00,4.20
15-01-2009,1.80,3.90,4.20,22.00,59.00,13.00,89.00,1012.00,269.00,19.00,26.00,6.90
16-01-2009,3.90,4.20,6.90,22.00,45.00,14.00,88.00,1012.00,267.00,21.00,26.00,3.80
17-01-2009,4.20,6.90,3.80,22.00,34.00,12.00,87.00,1011.00,271.00,17.00,27.00,2.60
18-01-2009,6.90,3.80,2.60,22.00,26.00,10.00,86.00,1010.00,284.00,14.00,27.00,2.50
19-01-2009,3.80,2.60,2.50,23.00,27.00,10.00,86.00,1010.00,291.00,14.00,27.00,1.90
20-01-2009,2.60,2.50,1.90,23.00,30.00,7.00,87.00,1009.00,270.00,10.00,27.00,4.30
21-01-2009,2.50,1.90,4.30,23.00,42.00,6.00,87.00,1009.00,311.00,8.00,27.00,2.00
22-01-2009,1.90,4.30,2.00,23.00,26.00,7.00,86.00,1009.00,276.00,10.00,28.00,2.90
23-01-2009,4.30,2.00,2.90,23.00,33.00,4.00,86.00,1009.00,293.00,6.00,29.00,3.00
24-01-2009,2.00,2.90,3.00,23.00,43.00,7.00,89.00,1009.00,295.00,11.00,27.00,7.80
25-01-2009,2.90,3.00,7.80,23.00,40.00,9.00,89.00,1009.00,285.00,13.00,27.00,5.30
26-01-2009,3.00,7.80,5.30,23.00,63.00,8.00,91.00,1009.00,263.00,12.00,27.00,22.30
27-01-2009,7.80,5.30,22.30,23.00,57.00,12.00,90.00,1009.00,270.00,18.00,27.00,8.80
28-01-2009,5.30,22.30,8.80,23.00,67.00,11.00,91.00,1008.00,257.00,18.00,26.00,17.60
29-01-2009,22.30,8.80,17.60,23.00,66.00,9.00,92.00,1009.00,254.00,15.00,26.00,16.20
30-01-2009,8.80,17.60,16.20,23.00,73.00,9.00,93.00,1008.00,246.00,13.00,25.00,30.60
31-01-2009,17.60,16.20,30.60,23.00,84.00,5.00,93.00,1009.00,229.00,7.00,25.00,22.70
01-02-2009,16.20,30.60,22.70,23.00,62.00,7.00,90.00,1010.00,251.00,11.00,26.00,10.10
02-02-2009,30.60,22.70,10.10,23.00,73.00,9.00,92.00,1009.00,254.00,13.00,26.00,25.00
03-02-2009,22.70,10.10,25.00,23.00,71.00,16.00,92.00,1009.00,258.00,25.00,26.00,14.80
